ProductID,ProductName,Brand,Category,SubCategory,UnitPrice,UnitCost
P0001,Fabrikam Tent RPBM,Fabrikam,Sports,Outdoor,339.02,242.63
P0002,Contoso Desktop U9Y7,Contoso,Electronics,Computers,488.39,298.74
P0003,Woodgrove Chair H1L4,Woodgrove,Furniture,Office,368.85,261.85
P0004,Contoso Desk H4T2,Contoso,Furniture,Office,104.33,68.07
P0005,Tailspin Drawer EYEX,Tailspin,Office Supplies,Storage,27.11,16.28
P0006,Litware Yoga Mat 25O5,Litware,Sports,Fitness,272.87,160.25
P0007,Tailspin Phone D9UQ,Tailspin,Electronics,Mobile,1774.43,1089.42
P0008,Northwind Soccer Ball KY36,Northwind,Sports,Team Sports,580.01,323.68
P0009,Fabrikam Basketball QFCP,Fabrikam,Sports,Team Sports,599.69,379.72
P0010,Contoso Folder DOX3,Contoso,Office Supplies,Binders,51.18,40.61
P0011,Fabrikam Lamp MO5Y,Fabrikam,Furniture,Office,108.83,84.29
P0012,Litware Pen Set YFQL,Litware,Office Supplies,Writing,38.63,25.13
P0013,Fabrikam Chromebook B4KB,Fabrikam,Electronics,Computers,492.17,347.21
P0014,Contoso Air Purifier YFBE,Contoso,Appliances,Cleaning,45.06,31.69
P0015,Woodgrove Marker Pack EZC2,Woodgrove,Office Supplies,Writing,13.47,10.42
P0016,Northwind Sleeping Bag Z77B,Northwind,Sports,Outdoor,265.49,162.96
P0017,Northwind Folder 1M01,Northwind,Office Supplies,Binders,44.08,27.77
P0018,Woodgrove Organizer LMAK,Woodgrove,Office Supplies,Storage,23.71,14.97
P0019,AdventureWorks Vacuum QP41,AdventureWorks,Appliances,Cleaning,840.22,471.39
P0020,Litware Organizer AQ0I,Litware,Office Supplies,Storage,41.99,26.66
P0021,AdventureWorks Backpack 024P,AdventureWorks,Sports,Outdoor,504.12,396.76
P0022,Tailspin Speaker NYPO,Tailspin,Electronics,Audio,477.31,380.05
P0023,Litware Tent RIS5,Litware,Sports,Outdoor,318.43,184.56
P0024,AdventureWorks Volleyball R99P,AdventureWorks,Sports,Team Sports,123.06,82.9
P0025,Fabrikam Sleeping Bag M5NJ,Fabrikam,Sports,Outdoor,305.35,199.38
P0026,Litware Cabinet 4K3D,Litware,Office Supplies,Storage,19.34,13.19
P0027,Fabrikam Backpack PPGC,Fabrikam,Sports,Outdoor,105.93,74.13
P0028,Contoso Table Q2QI,Contoso,Furniture,Home,552.68,307.0
P0029,Tailspin Vacuum WP6P,Tailspin,Appliances,Cleaning,354.76,275.79
P0030,Litware Speaker CG4M,Litware,Electronics,Audio,358.88,291.73
P0031,Contoso Table VCSM,Contoso,Furniture,Home,859.11,624.07
P0032,Woodgrove Chair PQGT,Woodgrove,Furniture,Office,79.08,57.6
P0033,Woodgrove Organizer J8W1,Woodgrove,Furniture,Storage,503.26,348.54
P0034,Litware Cabinet 1MZ2,Litware,Furniture,Storage,494.72,316.75
P0035,Northwind Yoga Mat JCV1,Northwind,Sports,Fitness,156.03,92.09
P0036,Fabrikam Mouse FLO6,Fabrikam,Electronics,Accessories,890.38,630.12
P0037,AdventureWorks Vacuum MWI5,AdventureWorks,Appliances,Cleaning,133.14,74.84
P0038,Contoso Chromebook N01Y,Contoso,Electronics,Computers,1341.09,1036.15
P0039,Woodgrove Vacuum BMEK,Woodgrove,Appliances,Cleaning,297.58,197.49
P0040,Tailspin Fan VHAI,Tailspin,Appliances,Climate,264.67,175.21
P0041,AdventureWorks Desk 2NKT,AdventureWorks,Furniture,Office,310.06,197.92
P0042,AdventureWorks Heater IBSP,AdventureWorks,Appliances,Climate,1086.73,882.13
P0043,Tailspin Backpack WO57,Tailspin,Sports,Outdoor,490.38,292.87
P0044,AdventureWorks Dumbbells 7HIT,AdventureWorks,Sports,Fitness,555.21,328.05
P0045,Woodgrove Sofa NHR3,Woodgrove,Furniture,Home,621.98,369.89
P0046,Litware Divider Set HTRO,Litware,Office Supplies,Binders,76.38,55.59
P0047,Litware Fan 9OC6,Litware,Appliances,Climate,573.64,469.13
P0048,Tailspin Dock LS5S,Tailspin,Electronics,Accessories,1686.06,1034.53
P0049,Woodgrove Yoga Mat 73SF,Woodgrove,Sports,Fitness,306.44,243.47
P0050,Northwind Drawer YJTX,Northwind,Furniture,Storage,333.26,208.36
P0051,Contoso Tent U0HT,Contoso,Sports,Outdoor,375.67,272.34
P0052,Northwind Workstation BXJO,Northwind,Electronics,Computers,1022.5,573.56
P0053,Litware Keyboard AAQ8,Litware,Electronics,Accessories,303.47,207.52
P0054,Contoso Tent 2CRP,Contoso,Sports,Outdoor,231.33,168.12
P0055,AdventureWorks Backpack C1J1,AdventureWorks,Sports,Outdoor,185.71,129.03
P0056,Fabrikam Basketball TLX9,Fabrikam,Sports,Team Sports,507.86,311.94
P0057,AdventureWorks Kettlebell 6HVO,AdventureWorks,Sports,Fitness,244.17,188.91
P0058,Fabrikam Lamp 85FL,Fabrikam,Furniture,Office,730.04,592.75
P0059,Woodgrove Soundbar 0MEE,Woodgrove,Electronics,Audio,879.52,592.78
P0060,Woodgrove Smartwatch QR3A,Woodgrove,Electronics,Mobile,1429.37,1031.57
P0061,Woodgrove Planner J78S,Woodgrove,Office Supplies,Paper,17.57,13.41
P0062,Tailspin Desktop IG9G,Tailspin,Electronics,Computers,1723.34,1060.2
P0063,Fabrikam Basketball RY4U,Fabrikam,Sports,Team Sports,298.99,234.23
P0064,AdventureWorks Workstation UPFH,AdventureWorks,Electronics,Computers,527.48,330.02
P0065,Contoso Ultrabook BLQR,Contoso,Electronics,Computers,491.54,373.31
P0066,Northwind Soundbar 80CO,Northwind,Electronics,Audio,552.84,320.79
P0067,AdventureWorks Workstation VQPO,AdventureWorks,Electronics,Computers,731.6,459.35
P0068,Tailspin Speaker GSHY,Tailspin,Electronics,Audio,1347.9,935.55
P0069,Contoso Divider Set SN7X,Contoso,Office Supplies,Binders,119.74,82.83
P0070,Woodgrove Table BAHI,Woodgrove,Furniture,Home,614.05,478.72
P0071,AdventureWorks Pencil Set S9T6,AdventureWorks,Office Supplies,Writing,68.61,56.19
P0072,Litware Basketball MZQJ,Litware,Sports,Team Sports,284.63,164.79
P0073,AdventureWorks Folder XNZ9,AdventureWorks,Office Supplies,Binders,96.85,60.36
P0074,AdventureWorks Air Purifier KO4G,AdventureWorks,Appliances,Cleaning,977.2,631.81
P0075,Tailspin Lamp O422,Tailspin,Furniture,Office,289.23,196.48
P0076,Woodgrove Smartwatch GVDK,Woodgrove,Electronics,Mobile,1781.24,1217.22
P0077,Fabrikam Chair YV0G,Fabrikam,Furniture,Office,371.79,290.43
P0078,AdventureWorks Yoga Mat Y35C,AdventureWorks,Sports,Fitness,491.69,372.73
P0079,Contoso Marker Pack A3E3,Contoso,Office Supplies,Writing,110.37,61.27
P0080,AdventureWorks Laptop A5PP,AdventureWorks,Electronics,Computers,1271.63,855.62
P0081,Woodgrove Standing Desk JYPJ,Woodgrove,Furniture,Office,181.0,129.76
P0082,Litware Yoga Mat AKVE,Litware,Sports,Fitness,342.65,231.05
P0083,Fabrikam Binder XPE0,Fabrikam,Office Supplies,Binders,16.65,9.74
P0084,Northwind Planner BHN0,Northwind,Office Supplies,Paper,91.85,60.37
P0085,AdventureWorks Dumbbells 3LE5,AdventureWorks,Sports,Fitness,183.19,121.12
P0086,Northwind Copy Paper E8SQ,Northwind,Office Supplies,Paper,81.65,49.05
P0087,Fabrikam Planner WWAT,Fabrikam,Office Supplies,Paper,114.8,86.58
P0088,Northwind Desktop 3SE5,Northwind,Electronics,Computers,395.44,251.81
P0089,Northwind Phone J714,Northwind,Electronics,Mobile,724.3,513.55
P0090,AdventureWorks Backpack 6EVK,AdventureWorks,Sports,Outdoor,374.77,258.31
P0091,Litware Drawer IHP7,Litware,Office Supplies,Storage,49.33,38.82
P0092,AdventureWorks Table MPTI,AdventureWorks,Furniture,Home,192.06,111.96
P0093,Northwind Folder ZIVZ,Northwind,Office Supplies,Binders,5.6,3.25
P0094,Tailspin Keyboard KT2H,Tailspin,Electronics,Accessories,771.79,487.07
P0095,Woodgrove Treadmill YLN5,Woodgrove,Sports,Fitness,390.87,260.49
P0096,AdventureWorks Mouse VF7V,AdventureWorks,Electronics,Accessories,1076.78,679.02
P0097,AdventureWorks Volleyball VMMZ,AdventureWorks,Sports,Team Sports,102.52,77.51
P0098,Fabrikam Divider Set E43D,Fabrikam,Office Supplies,Binders,56.22,34.64
P0099,Litware Charger Z4OX,Litware,Electronics,Accessories,713.47,408.74
P0100,Litware Chromebook LI9K,Litware,Electronics,Computers,563.43,372.84
P0101,Fabrikam Basketball PSJY,Fabrikam,Sports,Team Sports,462.17,350.7
P0102,Northwind Soundbar HRCH,Northwind,Electronics,Audio,603.43,470.47
P0103,Fabrikam Chromebook SW5Z,Fabrikam,Electronics,Computers,959.82,717.95
P0104,Litware Coffee Maker ZRWK,Litware,Appliances,Kitchen,1068.61,748.7
P0105,Contoso Organizer G55F,Contoso,Furniture,Storage,506.47,377.59
P0106,Fabrikam Shelf 9UM5,Fabrikam,Furniture,Home,561.75,412.31
P0107,Northwind Tablet EIYQ,Northwind,Electronics,Mobile,215.05,131.89
P0108,AdventureWorks Tent 2EHQ,AdventureWorks,Sports,Outdoor,116.57,81.45
P0109,Fabrikam Charger N675,Fabrikam,Electronics,Accessories,254.15,192.66
P0110,AdventureWorks Phone C3N0,AdventureWorks,Electronics,Mobile,1437.07,913.43
P0111,Woodgrove Chair YV7D,Woodgrove,Furniture,Office,740.57,538.08
P0112,Woodgrove Tablet 9OXF,Woodgrove,Electronics,Mobile,413.52,281.19
P0113,Contoso Standing Desk JU5X,Contoso,Furniture,Office,217.21,148.97
